Possibility,standing_at,standing_at_x,standing_at_y,facing_at,facing_at_x,facing_at_y,locate_at,locate_at_x,locate_at_y,QuadrantNumber,QuestionHard,AnswerHard,QuestionMedium,AnswerMedium,QuestionEasy,AnswerEasy
1,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,quadrant II,"If I am standing by the toilet shelf and facing the basket, is the showercurtain to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the toilet shelf and facing the basket, is the showercurtain to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the toilet shelf and facing the basket, is the showercurtain to the left or the right of the stove?",left
2,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant II,"If I am standing by the toilet shelf and facing the basket, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the toilet shelf and facing the basket, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the toilet shelf and facing the basket, is the toilet to the left or the right of the stove?",left
3,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,quadrant III,"If I am standing by the toilet shelf and facing the basket, is the sink to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-left,"If I am standing by the toilet shelf and facing the basket, is the sink to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the toilet shelf and facing the basket, is the sink to the left or the right of the stove?",left
4,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,SM_To_basket8_SM_To_basket,6.33125,17.67961,quadrant I,"If I am standing by the toilet shelf and facing the showercurtain, is the basket to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the toilet shelf and facing the showercurtain, is the basket to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the toilet shelf and facing the showercurtain, is the basket to the left or the right of the stove?",right
5,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant II,"If I am standing by the toilet shelf and facing the showercurtain, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the toilet shelf and facing the showercurtain, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the toilet shelf and facing the showercurtain, is the toilet to the left or the right of the stove?",left
6,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,quadrant III,"If I am standing by the toilet shelf and facing the showercurtain, is the sink to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-left,"If I am standing by the toilet shelf and facing the showercurtain, is the sink to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the toilet shelf and facing the showercurtain, is the sink to the left or the right of the stove?",left
7,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,SM_To_basket8_SM_To_basket,6.33125,17.67961,quadrant I,"If I am standing by the toilet shelf and facing the toilet, is the basket to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the toilet shelf and facing the toilet, is the basket to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the toilet shelf and facing the toilet, is the basket to the left or the right of the stove?",right
8,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,quadrant I,"If I am standing by the toilet shelf and facing the toilet, is the showercurtain to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the toilet shelf and facing the toilet, is the showercurtain to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the toilet shelf and facing the toilet, is the showercurtain to the left or the right of the stove?",right
9,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,quadrant II,"If I am standing by the toilet shelf and facing the toilet, is the sink to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the toilet shelf and facing the toilet, is the sink to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the toilet shelf and facing the toilet, is the sink to the left or the right of the stove?",left
10,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,SM_To_basket8_SM_To_basket,6.33125,17.67961,quadrant IV,"If I am standing by the toilet shelf and facing the sink, is the basket to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-right,"If I am standing by the toilet shelf and facing the sink, is the basket to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the toilet shelf and facing the sink, is the basket to the left or the right of the stove?",right
11,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,quadrant IV,"If I am standing by the toilet shelf and facing the sink, is the showercurtain to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-right,"If I am standing by the toilet shelf and facing the sink, is the showercurtain to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the toilet shelf and facing the sink, is the showercurtain to the left or the right of the stove?",right
12,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant I,"If I am standing by the toilet shelf and facing the sink, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the toilet shelf and facing the sink, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the toilet shelf and facing the sink, is the toilet to the left or the right of the stove?",right
13,SM_To_basket8_SM_To_basket,6.33125,17.67961,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,quadrant IV,"If I am standing by the basket and facing the toilet shelf, is the showercurtain to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-right,"If I am standing by the basket and facing the toilet shelf, is the showercurtain to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",back,"If I am standing by the basket and facing the toilet shelf, is the showercurtain to the left or the right of the stove?",right
14,SM_To_basket8_SM_To_basket,6.33125,17.67961,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant IV,"If I am standing by the basket and facing the toilet shelf, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-right,"If I am standing by the basket and facing the toilet shelf, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the basket and facing the toilet shelf, is the toilet to the left or the right of the stove?",right
15,SM_To_basket8_SM_To_basket,6.33125,17.67961,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,quadrant I,"If I am standing by the basket and facing the toilet shelf, is the sink to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the basket and facing the toilet shelf, is the sink to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the basket and facing the toilet shelf, is the sink to the left or the right of the stove?",right
16,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,quadrant III,"If I am standing by the basket and facing the showercurtain, is the toilet shelf to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-left,"If I am standing by the basket and facing the showercurtain, is the toilet shelf to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",back,"If I am standing by the basket and facing the showercurtain, is the toilet shelf to the left or the right of the stove?",left
17,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant II,"If I am standing by the basket and facing the showercurtain, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the basket and facing the showercurtain, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the basket and facing the showercurtain, is the toilet to the left or the right of the stove?",left
18,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,quadrant III,"If I am standing by the basket and facing the showercurtain, is the sink to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-left,"If I am standing by the basket and facing the showercurtain, is the sink to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the basket and facing the showercurtain, is the sink to the left or the right of the stove?",left
19,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,quadrant III,"If I am standing by the basket and facing the toilet, is the toilet shelf to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-left,"If I am standing by the basket and facing the toilet, is the toilet shelf to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the basket and facing the toilet, is the toilet shelf to the left or the right of the stove?",left
20,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,quadrant I,"If I am standing by the basket and facing the toilet, is the showercurtain to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the basket and facing the toilet, is the showercurtain to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the basket and facing the toilet, is the showercurtain to the left or the right of the stove?",right
21,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,quadrant II,"If I am standing by the basket and facing the toilet, is the sink to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the basket and facing the toilet, is the sink to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the basket and facing the toilet, is the sink to the left or the right of the stove?",left
22,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,quadrant II,"If I am standing by the basket and facing the sink, is the toilet shelf to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the basket and facing the sink, is the toilet shelf to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the basket and facing the sink, is the toilet shelf to the left or the right of the stove?",left
23,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,quadrant IV,"If I am standing by the basket and facing the sink, is the showercurtain to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",back-right,"If I am standing by the basket and facing the sink, is the showercurtain to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the basket and facing the sink, is the showercurtain to the left or the right of the stove?",right
24,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant I,"If I am standing by the basket and facing the sink, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the basket and facing the sink, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the basket and facing the sink, is the toilet to the left or the right of the stove?",right
25,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,SM_To_basket8_SM_To_basket,6.33125,17.67961,quadrant II,"If I am standing by the showercurtain and facing the toilet shelf, is the basket to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-left,"If I am standing by the showercurtain and facing the toilet shelf, is the basket to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",left,"If I am standing by the showercurtain and facing the toilet shelf, is the basket to the left or the right of the stove?",left
26,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant I,"If I am standing by the showercurtain and facing the toilet shelf, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the showercurtain and facing the toilet shelf, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the showercurtain and facing the toilet shelf, is the toilet to the left or the right of the stove?",right
27,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,BP_To_sink5_2_SM_To_sink,8.75286,15.49423,quadrant I,"If I am standing by the showercurtain and facing the toilet shelf, is the sink to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the showercurtain and facing the toilet shelf, is the sink to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the showercurtain and facing the toilet shelf, is the sink to the left or the right of the stove?",right
28,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,SM_To_basket8_SM_To_basket,6.33125,17.67961,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,6.40197,17.692349999999998,quadrant I,"If I am standing by the showercurtain and facing the basket, is the toilet shelf to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the showercurtain and facing the basket, is the toilet shelf to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the showercurtain and facing the basket, is the toilet shelf to the left or the right of the stove?",right
29,BP_To_showercurtain4_2_SM_To_showercurtain,4.68884,16.8492,SM_To_basket8_SM_To_basket,6.33125,17.67961,BP_To_toilet4_2_SM_To_toilet,6.526409999999999,15.52318,quadrant I,"If I am standing by the showercurtain and facing the basket, is the toilet to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",front-right,"If I am standing by the showercurtain and facing the basket, is the toilet to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",right,"If I am standing by the showercurtain and facing the basket, is the toilet to the left or the right of the stove?",right
